"sample_id","percent_live","percent_lymphocytes_monocytes_of_live","percent_lymphocytes","percent_cd3_t_of_lymphocytes","percent_cd4_of_cd3_t","percent_ctla_4_of_cd4_t","percent_fox_p3_of_cd4_t","percent_fox_p3_of_cd4_t_2","percent_icos_of_cd4_t","percent_ki_67_of_cd4_t","percent_lag_3_of_cd4_t","percent_pd_1_of_cd4_t","percent_pd_1_of_cd4_t_2","percent_tim_3_of_cd4_t","percent_cd8_of_cd3_t","percent_ctla_4_of_cd8_t","percent_fox_p3_of_cd8_t","percent_fox_p3_of_cd8_t_2","percent_icos_of_cd8_t","percent_ki_67_of_cd8_t","percent_lag_3_of_cd8_t","percent_pd_1_of_cd8_t","percent_pd_1_of_cd8_t_2","percent_tim_3_of_cd8_t"
"18-140_01A-Iso_019.fcs",188962,181294,151378,115830,93035,282,126,92909,458,2562,513,484,92551,330,19460,141,24,19436,110,1255,81,141,19319,131
"18-140_01A-1_020.fcs",189104,181651,152430,117403,94982,6028,9263,85719,3456,2595,1355,17158,77824,301,19821,410,268,19553,490,1228,289,8331,11490,273
"18-140_01A-2_021.fcs",189419,181474,150945,115765,93148,5903,9068,84080,3342,2564,898,16505,76643,328,19981,416,279,19702,429,1258,226,8391,11590,237
"18-140_01B-Iso_022.fcs",190203,183788,122784,85872,67512,191,107,67405,330,2697,373,352,67160,228,15881,111,18,15863,86,1199,62,127,15754,114
"18-140_01B-1_023.fcs",189564,182954,122306,85823,67533,4792,5354,62179,2599,2639,730,11744,55789,239,16363,353,202,16161,397,1211,151,7715,8648,351
"18-140_01B-2_024.fcs",184861,178337,119588,84463,66412,4927,5411,61001,2436,2650,855,11241,55171,215,16120,439,194,15926,389,1235,223,7608,8512,315
"18-140_01C-Iso_025.fcs",174168,170382,126718,95021,75238,199,172,75066,330,2533,421,407,74831,189,17333,135,27,17306,101,1110,71,150,17183,136
"18-140_01C-1_026.fcs",193532,188863,137790,103039,81490,5024,7099,74391,2841,2608,955,15960,65530,226,19243,412,197,19046,419,1194,190,8988,10255,318
"18-140_01C-2_027.fcs",193293,189007,138868,103990,82523,5209,7115,75408,2918,2623,998,16534,65989,225,19213,493,242,18971,444,1226,239,9161,10052,317
"18-140_01D-Iso_028.fcs",185225,178824,135270,98391,78737,229,263,78474,334,2085,446,380,78357,205,16793,101,35,16758,103,608,75,139,16654,115
"18-140_01D-1_029.fcs",167288,161267,121484,88956,71504,4219,5479,66025,2522,1757,1167,12661,58843,177,15285,260,180,15105,304,606,244,7208,8077,275
"18-140_01D-2_030.fcs",158550,152657,116283,84764,68175,4186,5578,62597,2447,1831,1420,11801,56374,150,14540,282,144,14396,282,579,307,6606,7934,303
"18-140_01E-Iso_031.fcs",162972,154838,120842,87726,70946,162,175,70771,365,1650,327,341,70605,212,14577,94,23,14554,86,479,58,113,14464,116
"18-140_01E-1_032.fcs",185126,176169,138354,101003,82388,4394,7293,75095,2889,2047,906,15256,67132,281,16513,286,189,16324,342,530,190,7081,9432,310
"18-140_01E-2_033.fcs",186090,177399,138923,100965,82063,4440,7200,74863,2952,1954,1022,15404,66659,261,16708,355,199,16509,320,554,238,7333,9375,304
"18-140_01F-Iso_034.fcs",174258,171018,125724,90569,72466,179,243,72223,386,1666,380,429,72037,212,15735,97,32,15703,86,419,69,112,15623,102
"18-140_01F-1_035.fcs",192740,189118,139419,100130,80705,3697,7521,73184,2304,1802,665,13320,67384,260,17323,186,211,17112,237,468,150,6904,10419,256
"18-140_01F-2_036.fcs",192549,189035,138915,99361,79786,3932,7663,72123,2263,1796,809,13204,66582,220,17459,215,214,17245,221,442,186,6987,10472,280
"18-140_01UA-Iso_037.fcs",17,8,8,6,4,0,0,4,0,0,0,0,4,1,1,0,0,1,0,0,0,0,1,0
"18-140_01UA-1_038.fcs",953,185,152,84,70,6,4,66,4,4,2,17,53,4,9,1,0,9,0,0,3,3,6,0
"18-140_01UA-2_039.fcs",18,10,8,4,3,0,0,3,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"18-140_01UB-Iso_040.fcs",52543,4257,3109,1345,446,3,1,445,2,14,2,4,442,8,839,6,5,834,8,24,16,5,834,12
"18-140_01UB-1_041.fcs",33145,2650,1836,838,286,24,19,267,18,12,28,98,188,1,531,11,18,513,17,15,168,360,171,4
"18-140_01UB-2_042.fcs",11,5,4,3,1,0,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,1,1,0
"18-140_01UC-Iso_043.fcs",37271,4269,3548,763,395,3,18,377,12,25,3,11,384,15,343,4,1,342,3,9,2,3,340,6
"18-140_01UC-1_044.fcs",30295,3204,2579,592,284,27,29,255,12,11,8,70,214,9,287,36,7,280,6,10,106,232,55,6
"18-140_01UC-2_045.fcs",10,6,4,3,3,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"18-140_01UD-Iso_046.fcs",31,14,11,5,4,0,0,4,0,1,0,0,4,1,1,0,0,1,0,0,0,0,1,0
"18-140_01UD-1_047.fcs",46324,9097,8433,1139,106,29,36,70,24,22,3,77,29,37,758,40,83,675,25,169,64,664,94,35
"18-140_01UD-2_048.fcs",17,9,5,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"18-140_01UE-Iso_049.fcs",21,9,5,5,3,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"18-140_01UE-1_050.fcs",1928,131,76,9,5,3,5,0,0,2,2,4,1,0,3,0,0,3,0,0,0,1,2,0
"18-140_01UE-2_051.fcs",20,8,7,5,3,0,1,2,0,0,0,1,2,1,2,0,0,2,0,1,0,2,0,0
"18-140_01UF-Iso_052.fcs",13,5,5,3,1,0,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,1,1,0
"18-140_01UF-1_053.fcs",1606,401,209,106,88,30,58,30,8,27,32,69,19,1,12,3,3,9,0,1,9,10,2,2
"18-140_01UF-2_054.fcs",16,5,2,2,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
"18-140_03UA-Iso_037.fcs",4759,3833,2658,2046,1785,30,66,1719,13,34,15,95,1690,16,222,0,0,222,2,2,5,138,84,8
"18-140_03UA-1_038.fcs",1447,797,324,181,137,15,6,131,6,9,20,22,115,0,38,2,1,37,0,1,13,27,11,1
"18-140_03UA-2_039.fcs",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-140_03UB-Iso_040.fcs",45800,35754,23223,14940,9080,57,63,9017,47,549,55,54,9026,20,5111,40,11,5100,33,113,33,40,5071,30
"18-140_03UB-1_041.fcs",35178,26520,16853,10799,6607,756,696,5911,417,413,2009,3017,3590,43,3615,88,30,3585,75,91,1953,2031,1584,91
"18-140_03UB-2_042.fcs",3,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"18-140_03UC-Iso_043.fcs",37026,22373,17667,560,317,3,1,316,5,19,1,2,315,0,196,9,2,194,0,6,0,1,195,7
"18-140_03UC-1_044.fcs",48693,27710,22106,810,493,138,36,457,44,26,52,223,270,4,264,36,2,262,16,8,30,170,94,32
"18-140_03UC-2_045.fcs",16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-140_03UD-Iso_046.fcs",9061,792,268,76,59,1,0,59,1,9,1,0,59,0,15,5,0,15,0,3,0,0,15,0
"18-140_03UD-1_047.fcs",8697,811,261,73,53,6,8,45,4,6,28,19,34,0,20,5,0,20,1,0,14,11,9,4
"18-140_03UD-2_048.fcs",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-140_03UE-Iso_049.fcs",2769,215,126,17,14,0,0,14,0,5,0,0,14,0,3,0,0,3,0,0,0,0,3,0
"18-140_03UE-1_050.fcs",2027,196,118,13,12,3,1,11,2,2,8,5,7,0,0,0,0,0,0,0,0,0,0,0
"18-140_03UE-2_051.fcs",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-140_03UF-Iso_052.fcs",4081,2188,1138,135,115,2,0,115,2,36,1,0,115,0,15,0,0,15,1,4,1,0,15,0
"18-140_03UF-1_053.fcs",3706,1933,994,116,100,41,3,97,5,22,18,32,66,0,12,5,0,12,0,1,7,2,10,0
"18-140_03UF-2_054.fcs",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-140_03UG-Iso_055.fcs",23841,13633,11811,379,211,1,5,206,2,13,1,1,210,0,148,3,1,147,2,6,7,2,146,1
"18-140_03UG-1_056.fcs",11606,6552,5548,189,94,31,7,87,6,12,18,63,31,0,88,16,1,87,13,4,49,69,19,5
"18-140_03UG-2_057.fcs",23627,13930,11884,357,181,66,14,167,21,11,24,116,65,5,158,31,3,155,12,10,80,129,29,12
"18-140_03UH-Iso_058.fcs",15135,9228,6276,473,366,47,2,364,2,103,1,1,365,0,92,9,0,92,6,4,3,5,87,3
"18-140_03UH-1_059.fcs",17669,9336,6287,463,360,172,31,329,71,111,95,184,170,1,87,21,2,85,7,6,44,59,28,7
"18-140_03UH-2_060.fcs",23917,14662,9547,739,570,254,57,513,109,156,153,303,260,1,146,29,1,145,11,8,78,97,49,7
"18-140_03UI-Iso_061.fcs",2297,470,333,15,8,0,0,8,0,0,0,1,7,0,5,0,0,5,0,0,5,1,4,0
"18-140_03UI-1_062.fcs",2226,436,316,18,14,1,0,14,1,1,4,3,10,0,4,0,0,4,0,0,3,1,3,0
"18-140_03UI-2_063.fcs",11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-140_03UJ-Iso_064.fcs",3527,2151,1750,189,160,0,0,160,0,56,1,1,159,1,20,0,0,20,0,5,3,2,18,1
"18-140_03UJ-1_065.fcs",3116,1915,1574,168,148,73,10,138,18,44,19,30,117,1,17,6,0,17,2,3,14,8,9,3
"18-140_03UJ-2_066.fcs",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-140_04G-Iso_055.fcs",193454,189483,158498,128552,102381,312,339,102042,429,1453,479,520,101704,273,21347,191,36,21311,110,378,98,163,21184,185
"18-140_04G-1_056.fcs",193934,189853,158377,128674,102582,4252,6763,95819,2298,1426,1414,21116,80538,467,21682,506,513,21169,329,398,392,4329,17353,397
"18-140_04G-2_057.fcs",194409,190457,158478,128653,102439,4162,6632,95807,2354,1407,1315,21340,80170,445,21708,512,473,21235,343,379,447,4279,17429,367
"18-140_04H-Iso_058.fcs",179512,172183,157299,84189,64297,182,103,64194,341,1514,268,397,63798,157,16165,107,26,16139,95,409,79,132,16033,128
"18-140_04H-1_059.fcs",179016,172089,157166,83795,64122,3270,3606,60516,1832,1461,1457,10449,53159,304,16189,370,283,15906,302,428,577,2811,13378,397
"18-140_04H-2_060.fcs",180262,172910,157548,84630,64596,3334,3717,60879,1928,1513,1692,10683,53382,346,16542,372,314,16228,284,440,621,3059,13483,420
"18-140_04I-Iso_061.fcs",194007,190750,143662,118836,92611,225,126,92485,496,1703,459,543,91895,223,21733,138,48,21685,109,476,112,154,21579,153
"18-140_04I-1_062.fcs",193992,190601,142629,117973,91994,4206,3962,88032,2815,1676,1072,21089,69989,402,21777,442,305,21472,284,442,370,4562,17215,354
